institution_name,unitid,total_addressable_pop,total_enrollment,total_employees,ft_employees,pt_employees,enrollment_yoy,median_income,year_joined_ucu,partnership_age,conference,institution_type,state,pct_women,size_score,growth_score,need_score,freshness_score,opportunity_score,tier
Georgia Tech,139755,64317,53363,10954,9903.0,1051.0,11.298127059608731,75000,2021.0,3.0,Out-of-State,Public R1,GA,32.2,82.33057962254013,100.0,71.60493827160494,95.8904109589041,86.43130169511787,Tier 1: Prioritize
UC San Diego,110680,63760,44256,19504,17690.0,1814.0,4.436473475552205,85000,2020.0,4.0,UC System,Public R1,CA,52.6,81.5823762509235,60.24387770725708,59.25925925925925,94.52054794520548,75.43768748271377,Tier 1: Prioritize
UT Arlington,228769,49614,44956,4658,3889.0,769.0,2.1913075104564417,72000,2024.0,0.0,Out-of-State,Public R1,TX,60.2,62.580428504264894,47.23548380010177,75.30864197530865,100.0,69.54099655678803,Tier 1: Prioritize
UC Davis,110644,55094,40065,15029,13687.0,1342.0,0.9016042511395872,78000,2019.0,5.0,UC System,Public R1,CA,58.1,69.9415676002418,39.762999234881605,67.90123456790124,93.15068493150685,68.13961078695466,Tier 1: Prioritize
UC Irvine,110653,47503,37297,10206,9258.0,948.0,1.9545131485430023,82000,2018.0,6.0,UC System,Public R1,CA,55.2,59.7447780240446,45.863507570882504,62.96296296296296,91.78082191780823,64.01936969994858,Tier 2: Grow
UCLA,110662,77471,47335,30136,27786.0,2350.0,1.407515317708552,82000,1951.0,73.0,Founding,Public R1,CA,56.8,100.0,42.69422594071556,62.96296296296296,0.0,61.13143778073571,Tier 2: Grow
Abilene Christian University,222178,6424,5219,1205,944.0,261.0,2.0531873289010516,52000,2025.0,0.0,WAC,Private,TX,65.4,4.56444354892874,46.435221478236535,100.0,100.0,51.1128217152188,Tier 2: Grow
Loyola Marymount University,117946,12818,10179,2639,2064.0,575.0,-0.750780031201248,82000,2012.0,12.0,WCC,Private,CA,54.9,13.15333467660689,30.189156603713403,62.96296296296296,83.56164383561644,40.60408655110132,Tier 2: Grow
Las Positas College,366401,8597,8103,494,252.0,242.0,8.794307196562844,120000,2014.0,10.0,CC,Community College,CA,50.6,7.483376989723957,85.4929766630097,16.049382716049383,86.3013698630137,40.56209664430415,Tier 2: Grow
Chabot College,111920,13606,12842,764,364.0,400.0,5.107218857423468,120000,2014.0,10.0,CC,Community College,CA,49.9,14.211834240042984,64.13014726346537,16.049382716049383,86.3013698630137,38.98091366452289,Tier 2: Grow
Mount Saint Mary's University,119173,3026,2312,714,414.0,300.0,0.17331022530329143,82000,2016.0,8.0,LA Local,Private,CA,88.7,0.0,35.54329533967206,62.96296296296296,89.04109589041096,37.509470838609204,Tier 2: Grow
Santa Clara University,122931,11831,9728,2103,1795.0,308.0,4.1541755888651055,133000,2015.0,9.0,WCC,Private,CA,51.5,11.827523675196455,58.608256035508354,0.0,87.67123287671232,33.98690725252272,Tier 2: Grow
Pepperdine University,121150,11141,8976,2165,1620.0,545.0,-5.961236249345204,82000,2010.0,14.0,WCC,Private,CA,66.8,10.900664920411042,0.0,62.96296296296296,80.82191780821918,33.11724212240085,Tier 2: Grow
Saint Mary's College of CA,123554,3469,2734,735,537.0,198.0,-1.4774774774774735,120000,2024.0,0.0,WCC,Private,CA,58.0,0.5950701860433877,25.978703221002448,16.049382716049383,100.0,28.64364526182772,Tier 3: Maintain
